	Bayesian SkyGrid: M-global.log			
Time	Mean	Median	Upper	Lower
2022.695	2.7679653361244023	2.7876192599277156	5.427855431695812	1.4397872706660364
2020.6541836734693	5.74212617275457	5.582152073339981	15.440867026144776	2.3748651257880393
2018.6133673469387	8.099581548605604	7.927156097288749	20.040974000853165	3.0462451211078276
2016.5725510204081	12.912136369264134	12.414425597312801	42.41769151600907	4.46422080963351
2014.5317346938775	16.83841432292344	15.953489278904346	58.164240068555955	5.291551828604241
2012.490918367347	15.061688518287214	14.606463345826636	42.70802979210404	5.372768488240615
2010.4501020408163	18.540646868573862	18.45942083131919	29.099734747387437	12.06783362852516
2008.4092857142857	25.157739336261564	24.686093186731743	44.2333792408749	14.07554394485105
2006.368469387755	11.397041479000244	11.522245181940097	23.351894716767987	4.968458568514001
2004.3276530612245	12.91176527598671	12.764707021889377	34.90166796807011	4.721944237220134
2002.286836734694	19.523024606346187	18.88461755620868	69.42975944891555	6.167137468606515
2000.2460204081633	25.23751606582683	24.26148142115308	93.65899871415658	7.940648051785188
1998.2052040816327	32.459807351227255	30.78767681462922	125.1759193550539	9.738654951964923
1996.164387755102	33.43902848278114	31.7307439755193	138.65785827251264	9.487175162667357
1994.1235714285715	31.239689691876183	29.608091234453955	135.5653522330008	8.464977666235246
1992.082755102041	27.106768079580245	26.136390989188225	120.62012569185903	7.30026196712208
1990.0419387755103	18.487060205548264	18.544262086218637	82.82258815417443	4.0958266638181895
1988.0011224489797	13.933678017805882	13.943368162767793	52.870945086651616	3.830436759590014
1985.960306122449	21.56561094641553	21.32957056783869	65.73444903885377	6.4490107025536805
1983.9194897959185	43.47826974735874	41.732871568508685	142.8910887653101	13.855555016186841
1981.8786734693879	60.589555607259335	57.935648182422234	206.78228632208865	20.525902153073822
1979.8378571428573	85.35938185251851	80.59138825088004	274.92460041508247	29.229085915225713
1977.7970408163267	77.0553851664457	74.82792764691527	185.400365985263	32.75256053225666
1975.756224489796	80.05617194579271	77.53890404999045	206.6854508806343	30.088614578632498
1973.7154081632655	87.51015400017997	85.24137324457224	226.8968897858258	37.09298471337472
1971.6745918367349	108.65318855045753	104.96965884153082	300.86168171864176	42.16499695816358
1969.6337755102043	90.5493560896621	88.10685803514716	266.4335581208126	33.32324292341845
1967.5929591836737	93.41013174712597	91.28081358407961	290.9667585656911	30.602762550821087
1965.552142857143	97.17297621264535	94.30833455820944	332.11406097140826	27.084315353532144
1963.5113265306125	86.16634700095847	83.40981629532178	347.3350647062023	23.874610656663837
1961.4705102040818	80.25509589463638	77.5472359356157	298.99196063512744	20.817024312189012
1959.4296938775512	78.42782049958629	76.72096594722655	318.28521866277356	21.434371915968523
1957.3888775510206	85.30587975741406	83.448906227028	328.4961456321718	22.17924713867578
1955.34806122449	101.09726474003912	97.10642734954294	380.94547332209464	27.36503207686933
1953.3072448979594	133.85819684386274	127.16466223007549	572.0008152286237	32.36859288709413
1951.2664285714288	187.3664937687008	171.23634000733733	967.4260401245454	46.067301971189224
1949.2256122448982	238.84890013398987	215.92943846124413	1493.6196487595182	54.70705513680626
1947.1847959183676	269.63615499580897	241.09966097109762	1678.256040499765	46.25577776010407
1945.143979591837	277.233860857174	246.72951521581956	2194.970622567571	51.809896789500144
1943.1031632653064	256.8386718828065	230.9155117711069	2247.9775991615084	41.50078182584198
1941.0623469387758	206.22093971461143	189.17413499396042	1634.347751113516	26.57478612089843
1939.0215306122452	149.34367497772183	139.0224412496137	1404.7048854811553	20.786145661614196
1936.9807142857146	103.10068959279513	96.78064218562835	841.9638374399749	10.72514030377113
1934.939897959184	69.97400255901793	66.79693549913661	647.9911854775461	7.720587500213965
1932.8990816326534	47.03467308330163	45.117282346353704	423.93583521855095	4.761690663620056
1930.8582653061228	32.12116705648457	32.300586138326366	292.60107665439403	3.1277530290037943
1928.8174489795922	22.00135845521355	22.84941512548593	219.20848494810016	2.3880649644102445
1926.7766326530616	15.376801181166122	16.431625212351875	145.57960679497168	1.624259901016063
1924.735816326531	11.230384095418442	12.383626535628547	106.30519137306806	1.2187616760060174
1922.6950000000004	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1922.6950000000004	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1920.6541836734698	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1918.6133673469392	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1916.5725510204086	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1914.531734693878	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1912.4909183673474	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1910.4501020408168	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1908.4092857142862	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1906.3684693877556	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1904.327653061225	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1902.2868367346944	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
1900.2460204081638	8.428610196039097	9.455614425171373	76.14679628964625	0.7422588024988462
