	Bayesian SkyGrid: C.lineage.continuous.phylo.log			
Time	Mean	Median	Upper	Lower
2022.646	1.0899190875439861	1.0754242627997532	2.4891919622795116	0.497560393000127
2020.6051836734694	3.818780387521118	3.7149567112976842	9.668510900342156	1.6362556459588233
2018.5643673469388	6.398110922372739	6.243890559177101	14.994187004378178	2.755016484552916
2016.5235510204081	10.716897222850696	10.155320760784592	35.75302872125538	3.619209262893004
2014.4827346938775	11.605835733962868	10.935636038625763	45.22191550351632	3.4872609509566095
2012.441918367347	12.218503092361212	11.358066335396407	44.27043523970516	3.8882542597420224
2010.4011020408163	7.728776284546292	7.446982494655842	20.821030288828226	3.2726477446063456
2008.3602857142857	5.900809999541259	5.858757767895553	11.67685867258836	3.2040553529926843
2006.3194693877551	5.798548356687364	5.74833740576179	15.214322336572131	1.8724160126465281
2004.2786530612245	6.841733294508471	6.516172864573536	27.333215634204485	1.791431910054903
2002.237836734694	7.776978121044926	7.178543582349501	31.885176769569853	1.8561385696955968
2000.1970204081633	6.941355643574807	6.568461207874991	27.641385770000113	1.92102357746466
1998.1562040816327	3.9321199285459647	4.050277175979836	18.352208927067256	0.6752224362342263
1996.1153877551021	3.094374517623508	3.1905757510131427	21.27106715634997	0.43614572125213596
1994.0745714285715	2.3069156315312864	2.3931660366218925	15.944841253260236	0.3415758145439877
1992.033755102041	1.7546656613882348	1.752257655360972	8.509192858794965	0.39184526678254433
1989.9929387755103	1.6036399167644686	1.689135058611618	9.55228434470669	0.24957417257600448
1987.9521224489797	1.7015489614781294	1.8068947165750544	12.971204010869377	0.1945990040885229
1985.911306122449	1.8897896110284698	1.9400975431957028	16.693590636985707	0.19816989269177998
1983.8704897959185	2.1336020698692524	2.1222228973492374	19.255701312019127	0.2335372109540586
1981.829673469388	2.490400328992058	2.440249178305252	23.03482741065684	0.2732105686366171
1979.7888571428573	3.1858117492112035	2.9813877714228916	28.0102111872709	0.34871060549465976
1977.7480408163267	3.4693218893148865	3.2882078331547575	48.00293377226986	0.30228988410263646
